Firm,Region,Propery and construction,Social housing,Child law,Court of protection,Education,Debt recovery,Planning and environmenty,Licensing,Pensions,Litigation/dispute resolution,Intellectual property, Employment,Healthcare,PrimaryCare
Hugh James,SEE,x,,,,,x,x,x,,x,x,,,
Judge and Priestley LLP,SEE,,,,,,x,,,,,,,,
Kennedys Law LLP,SEE,x,,,,,x,,,,x,x,,x,x
Keoghs LLP,SEE,,,,,,,,,,x,,,,
Kingsley Napley LLP,SEE,x,,,x,x,,,x,,x,,x,x,
Lewis Silkin LLP,SEE,,,,,,,,,,,,,,
Michelmores LLP,SEE,x,,,,x,,x,,,,,x,,
Mills & Reeve LLP,SEE,x,x,,x,x,x,x,x,x,x,x,x,x,x
Moon Beever Solicitors,SEE,x,,,x,,x,,,,x,,x,,
Morton Fraser LLP,SEE,,,,,,,,,,,,,,
Muckle LLP,SEE,x,x,,,x,x,,,,x,x,x,,
Plexus Law,SEE,,,,,,,,,,x,,,,
Shakespeare Martineau LLP,SEE,x,x,,,,x,x,x,,x,x,x,,
Stephenson Harwood LLP,SEE,x,x,,,x,,x,,x,x,x,x,x,
Stephensons Solicitors LLP,SEE,x,x,x,x,,x,,,,x,,x,,
The Spring Advisory Group Limited t/a Spring Law,SEE,,,,,,x,,,,x,,x,,
Trowers & Hamlins LLP,SEE,x,x,,x,x,x,x,,x,x,x,x,x,x
Veale Wasbrough Vizards LLP,SEE,x,x,,,,x,x,,,x,x,x,,
WH LAWRENCE LIMITED,SEE,x,x,,,,x,,,,x,,,,
Acuity Legal Limited,SWE,x,x,,,,x,x,,,x,x,x,,
Anthony Collins Solicitors LLP,SWE,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Berrymans Lace Mawer LLP,SWE,x,x,,x,x,x,x,x,,x,x,x,x,x
Bircham Dyson Bell LLP,SWE,x,,,,,,x,,,x,x,x,,
Birketts LLP,SWE,,,,,,,,,,,,,,
Blake Morgan LLP,SWE,x,x,x,x,x,x,x,,x,x,x,x,x,x
BPE Solicitors LLP,SWE,x,,,,,,,,,x,x,x,,
Browne Jacobson LLP,SWE,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Capital Law Limited,SWE,,,,,,,,,,,,,,
Capsticks Solicitors LLP,SWE,x,x,x,x,x,,x,x,,x,,x,x,x
Cater Leydon Millard Limited,SWE,,,,,,,,,,,,x,,
Cleveland Scott York LLP,SWE,,,,,,,,,,,x,,,
Clyde & Co LLP,SWE,x,,,x,,,x,,x,x,x,x,x,x
Davitt Jones Bould Ltd,SWE,x,,,,,,x,,,,,,,
Dolmans Solicitors,SWE,,,,,,x,,,,x,,,,
EMW Law LLP,SWE,x,x,,,x,,,,,,,,,
Eversheds Sutherland (International),SWE,x,x,,,x,x,x,x,x,x,x,x,x,
Forbes Solicitors,SWE,x,x,,,x,x,,x,,x,x,x,,
Freeths LLP,SWE,x,x,,x,x,x,x,x,x,x,x,x,x,x
Hampshire Legal Services,SWE,x,,x,x,x,,x,,,x,,x,x,
Hempsons,SWE,x,x,x,x,x,x,x,x,x,x,x,x,x,x
