uprn,udprn,change_type,state,state_date,class,parent_uprn,x_coordinate,y_coordinate,latitude,longitude,rpc,local_custodian_code,country,la_start_date,last_update_date,entry_date,rm_organisation_name,la_organisation,department_name,legal_name,sub_building_name,building_name,building_number,sao_start_number,sao_start_suffix,sao_end_number,sao_end_suffix,sao_text,alt_language_sao_text,pao_start_number,pao_start_suffix,pao_end_number,pao_end_suffix,pao_text,alt_language_pao_text,usrn,usrn_match_indicator,area_name,level,official_flag,os_address_toid,os_address_toid_version,os_roadlink_toid,os_roadlink_toid_version,os_topo_toid,os_topo_toid_version,voa_ct_record,voa_ndr_record,street_description,alt_language_street_description,dependent_thoroughfare,thoroughfare,welsh_dependent_thoroughfare,welsh_thoroughfare,double_dependent_locality,dependent_locality,locality,welsh_dependent_locality,welsh_double_dependent_locality,town_name,administrative_area,post_town,welsh_post_town,postcode,postcode_locator,postcode_type,delivery_point_suffix,addressbase_postal,po_box_number,ward_code,parish_code,rm_start_date,multi_occ_count,voa_ndr_p_desc_code,voa_ndr_scat_code,alt_language
10024854231,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANNERS ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO4 0BD,,,,,,,,,,,
10024854233,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUFFOLK ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO4 8EJ,,,,,,,,,,,
10024854235,,,,,RC01,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,HARDSTANDING 5,,,,,,,,,,,,,,,NEWCOMEN ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO2 8EJ,,,,,,,,,,,
10024854237,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,LINGFIELD COURT,,,,,,,,,,,,,,,BLOUNT ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO1 2TB,,,,,,,,,,,
10024854239,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WADHAM ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO2 9EE,,,,,,,,,,,
10024854241,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WALMER ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO1 5AT,,,,,,,,,,,
10024854243,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAVERLEY ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO5 2PW,,,,,,,,,,,
10024854245,,,,,CO01,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,QUAY POINT,,,,,,,,,,,,,,,NORTHARBOUR ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO6 3TD,,,,,,,,,,,
10024854247,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLYDEBANK ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO2 7QG,,,,,,,,,,,
10024854249,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUEENS ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO2 7LY,,,,,,,,,,,
10024854251,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORCHARD ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO4 0AB,,,,,,,,,,,
10024854253,,,,,RD06,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE RETREAT,,,,,,,,,,,SOUTHSEA,,,,,PO5 3DU,,,,,,,,,,,
10024854255,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROCHESTER ROAD,,,,,,,,,,,SOUTHSEA,,,,,PO4 9BA,,,,,,,,,,,
10024854257,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAMUEL ROAD,,,,,,,,,,,PORTSMOUTH,,,,,PO1 5PZ,,,,,,,,,,,
10024854259,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST PIRANS AVENUE,,,,,,,,,,,PORTSMOUTH,,,,,PO3 6JE,,,,,,,,,,,
10024854261,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CENTURION GATE,,,,,,,,,,,SOUTHSEA,,,,,PO4 9TF,,,,,,,,,,,
10024854263,,,,,RD04,,,,,,,,,,04/02/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RICHMOND TERRACE,,,,,,,,,,,SOUTHSEA,,,,,PO5 3NE,,,,,,,,,,,
